concert_end_hour,day_type,concert_size,weather,time_since_end_minutes,distance_to_pickup_meters,surge_multiplier
19,weekday,large,cloudy,62,450,1.31
20,weekday,small,clear,53,120,1.25
21,weekday,large,cloudy,5,650,2.42
20,weekday,small,cloudy,15,450,1.31
22,weekend,medium,cloudy,80,450,1.5
19,weekday,medium,cloudy,38,650,1.22
21,weekday,large,cloudy,78,380,1.35
20,weekend,medium,cloudy,7,450,2.67
21,weekend,large,cloudy,33,120,3.16
22,weekday,large,cloudy,78,650,1.18
22,weekday,medium,clear,69,120,1.48
22,weekday,large,cloudy,68,450,1.54
23,weekday,large,cloudy,42,900,1.83
21,weekday,medium,cloudy,19,120,2.51
22,weekday,small,cloudy,48,650,1.16
22,weekend,medium,cloudy,20,450,2.74
22,weekday,medium,cloudy,48,120,2.24
23,weekend,medium,cloudy,32,450,2.69
23,weekday,medium,cloudy,49,450,1.83
22,weekday,large,cloudy,61,650,1.31
21,weekday,large,cloudy,59,380,1.72
22,weekday,large,cloudy,21,650,2.23
22,weekend,large,cloudy,81,380,1.74
24,weekday,medium,cloudy,37,380,2.22
21,weekday,medium,cloudy,55,380,1.48
22,weekday,large,cloudy,50,120,2.33
22,weekday,small,cloudy,81,380,1.28
24,weekend,large,cloudy,32,380,3.5
20,weekday,medium,cloudy,57,650,1.15
22,weekday,small,cloudy,23,380,1.49
21,weekday,medium,cloudy,13,650,1.85
22,weekday,medium,rain,84,380,1.41
22,weekday,medium,cloudy,19,120,2.49
22,weekend,medium,cloudy,80,380,1.66
23,weekday,small,cloudy,77,380,1.27
22,weekday,large,cloudy,28,380,2.45
23,weekday,large,cloudy,80,380,1.52
20,weekday,large,clear,56,450,1.41
22,weekday,medium,cloudy,23,380,2.05
23,weekend,large,cloudy,68,650,1.83
22,weekday,medium,cloudy,11,900,1.83
23,weekend,medium,cloudy,68,900,1.55
21,weekday,medium,cloudy,89,120,1.26
22,weekend,large,cloudy,61,380,2.42
20,weekend,large,cloudy,73,450,1.7
19,weekend,large,cloudy,28,380,2.61
21,weekend,large,cloudy,37,900,2.12
21,weekend,large,cloudy,6,900,2.54
24,weekday,medium,cloudy,56,380,1.85
22,weekend,medium,cloudy,60,900,1.43
21,weekday,large,cloudy,11,380,2.67
21,weekday,small,clear,47,120,1.26
22,weekday,small,cloudy,51,120,1.46
19,weekday,medium,cloudy,23,120,1.98
20,weekend,large,cloudy,73,650,1.34
21,weekday,small,clear,83,650,1.0
20,weekday,medium,cloudy,21,380,1.77
19,weekday,large,cloudy,43,380,1.64
21,weekday,small,cloudy,0,650,1.32
20,weekday,medium,cloudy,41,120,1.83
21,weekday,medium,cloudy,0,120,2.41
22,weekday,large,cloudy,59,650,1.58
20,weekday,medium,clear,73,380,1.07
21,weekday,small,cloudy,42,380,1.21
21,weekday,medium,cloudy,7,450,2.02
22,weekday,small,cloudy,54,380,1.34
23,weekday,medium,cloudy,2,650,2.23
22,weekday,medium,cloudy,2,380,2.24
22,weekday,medium,cloudy,44,900,1.34
23,weekday,small,cloudy,59,380,1.52
23,weekend,large,cloudy,39,650,2.68
22,weekday,medium,cloudy,87,120,1.45
22,weekday,small,cloudy,35,120,1.73
23,weekday,small,cloudy,5,380,1.92
23,weekday,small,rain,32,650,1.61
22,weekday,medium,cloudy,72,450,1.47
21,weekday,medium,clear,16,380,1.93
21,weekday,medium,cloudy,60,120,1.58
19,weekday,medium,cloudy,48,450,1.37
20,weekend,small,cloudy,20,650,1.45
21,weekday,large,cloudy,32,380,2.05
21,weekend,large,cloudy,33,120,3.28
21,weekday,medium,cloudy,51,380,1.6
21,weekday,large,cloudy,73,380,1.56
23,weekday,large,cloudy,10,450,3.04
23,weekend,small,cloudy,77,380,1.76
21,weekend,small,cloudy,64,900,1.23
19,weekday,large,cloudy,13,450,2.31
21,weekday,small,cloudy,89,120,1.19
22,weekday,large,cloudy,48,380,1.95
22,weekday,medium,cloudy,83,650,1.06
21,weekday,medium,cloudy,72,380,1.29
21,weekend,medium,cloudy,73,450,1.67
21,weekend,large,cloudy,18,380,3.05
22,weekday,large,cloudy,38,650,1.92
21,weekday,medium,cloudy,45,120,2.06
20,weekday,medium,cloudy,65,450,1.3
21,weekday,small,cloudy,84,120,1.24
21,weekday,small,cloudy,26,380,1.38
22,weekend,medium,cloudy,2,380,3.15
23,weekday,medium,clear,53,380,1.62
22,weekday,medium,cloudy,9,120,2.77
22,weekday,large,cloudy,25,650,2.16
21,weekend,medium,cloudy,81,900,1.13
21,weekend,medium,cloudy,12,650,2.06
22,weekday,large,cloudy,31,120,2.73
21,weekday,medium,cloudy,1,900,1.74
22,weekday,large,cloudy,8,450,2.88
23,weekend,large,cloudy,82,450,1.8
21,weekday,medium,cloudy,56,900,1.2
22,weekday,medium,cloudy,89,380,1.24
22,weekday,large,cloudy,5,380,2.89
20,weekday,medium,cloudy,77,380,1.24
21,weekend,small,cloudy,38,450,1.8
23,weekday,medium,clear,52,450,1.55
23,weekend,medium,cloudy,49,450,2.38
19,weekday,small,cloudy,23,380,1.14
20,weekday,medium,cloudy,18,120,2.33
21,weekday,small,clear,15,650,1.14
19,weekend,medium,cloudy,25,120,2.69
20,weekend,small,cloudy,58,450,1.41
23,weekday,large,cloudy,80,120,1.67
22,weekend,medium,cloudy,60,900,1.64
23,weekday,medium,cloudy,22,650,1.89
21,weekday,medium,cloudy,8,450,2.29
23,weekend,medium,cloudy,18,450,2.93
22,weekend,medium,cloudy,26,380,2.55
20,weekend,medium,cloudy,31,450,2.2
23,weekday,medium,clear,7,450,2.16
22,weekday,small,cloudy,62,120,1.47
19,weekday,medium,cloudy,1,120,2.06
21,weekend,medium,cloudy,68,450,1.53
21,weekday,large,cloudy,65,650,1.34
22,weekday,medium,cloudy,71,650,1.1
20,weekday,medium,cloudy,59,450,1.41
21,weekday,small,cloudy,68,450,1.13
20,weekend,large,cloudy,53,450,2.33
20,weekday,large,cloudy,8,650,2.09
20,weekday,medium,cloudy,36,120,2.01
22,weekday,large,cloudy,17,900,1.88
22,weekend,medium,cloudy,6,900,2.24
23,weekday,small,cloudy,35,650,1.27
23,weekday,medium,cloudy,6,380,2.44
23,weekend,large,cloudy,55,380,2.78
21,weekend,large,cloudy,13,650,2.62
22,weekday,large,cloudy,49,120,2.46
19,weekday,medium,cloudy,45,120,1.76
23,weekday,small,cloudy,7,380,1.94
22,weekday,medium,cloudy,2,450,2.47
22,weekday,medium,cloudy,39,380,1.79
22,weekend,medium,cloudy,80,650,1.37
22,weekday,small,cloudy,7,650,1.37
23,weekend,small,cloudy,84,650,1.37
20,weekday,medium,cloudy,70,380,1.17
21,weekend,medium,cloudy,54,380,1.93
23,weekend,large,cloudy,56,650,2.15
20,weekday,large,cloudy,40,120,2.29
20,weekend,medium,cloudy,71,650,1.34
22,weekday,large,cloudy,22,900,2.01
23,weekday,medium,cloudy,15,650,1.81
22,weekend,medium,cloudy,39,380,2.33
20,weekend,large,cloudy,17,380,3.1
21,weekday,large,cloudy,66,380,1.47
21,weekend,small,cloudy,53,380,1.62
22,weekend,large,cloudy,34,380,2.99
21,weekday,small,cloudy,72,380,1.14
24,weekday,large,clear,15,380,2.97
22,weekend,small,cloudy,59,120,2.15
20,weekday,small,cloudy,42,380,1.32
22,weekday,large,clear,61,380,1.51
22,weekday,medium,cloudy,10,450,2.37
22,weekday,medium,cloudy,53,380,1.82
22,weekday,small,cloudy,73,450,1.17
22,weekday,medium,cloudy,66,650,1.15
21,weekday,medium,cloudy,29,450,1.83
20,weekday,large,cloudy,43,450,1.76
21,weekday,medium,cloudy,62,380,1.34
24,weekday,medium,cloudy,32,450,2.33
22,weekday,small,cloudy,68,380,1.22
22,weekday,small,cloudy,20,650,1.22
22,weekday,large,cloudy,87,380,1.18
22,weekend,medium,cloudy,63,380,2.02
20,weekend,medium,cloudy,41,450,1.88
23,weekday,medium,cloudy,13,380,2.62
21,weekday,medium,cloudy,6,450,2.2
21,weekday,medium,cloudy,64,450,1.21
23,weekday,medium,cloudy,40,380,2.14
23,weekday,large,cloudy,87,450,1.19
23,weekday,medium,cloudy,40,900,1.54
19,weekday,small,clear,60,380,1.0
21,weekday,large,cloudy,19,380,2.32
22,weekday,medium,cloudy,76,450,1.22
21,weekday,medium,cloudy,81,380,1.24
22,weekday,medium,cloudy,5,650,2.14
21,weekday,large,cloudy,20,120,2.79
23,weekday,medium,cloudy,47,120,2.09
22,weekday,medium,clear,20,380,1.99
23,weekday,large,cloudy,22,380,2.71
19,weekend,large,cloudy,15,900,2.09
24,weekday,medium,cloudy,47,380,2.02
20,weekend,large,cloudy,71,380,1.63
23,weekday,medium,cloudy,63,450,1.62
21,weekday,small,cloudy,15,380,1.46
22,weekend,medium,cloudy,14,650,2.52
21,weekday,large,clear,78,650,1.03
24,weekday,large,cloudy,72,650,1.42
23,weekday,medium,rain,18,380,3.01
21,weekday,large,cloudy,76,450,1.3
22,weekday,small,cloudy,19,380,1.55
23,weekday,medium,cloudy,6,450,2.48
21,weekday,medium,cloudy,5,450,2.03
20,weekday,small,cloudy,38,120,1.35
23,weekday,medium,cloudy,78,380,1.4
22,weekday,small,clear,41,380,1.28
21,weekday,large,rain,57,650,1.59
23,weekday,small,cloudy,34,380,1.63
19,weekend,medium,cloudy,73,380,1.48
21,weekday,large,cloudy,24,380,2.43
20,weekday,medium,cloudy,18,450,1.77
23,weekday,large,cloudy,59,380,1.87
22,weekday,large,cloudy,12,380,2.74
20,weekday,small,cloudy,11,450,1.29
22,weekend,medium,cloudy,32,380,2.74
20,weekday,large,cloudy,59,380,1.52
21,weekday,large,cloudy,24,380,2.34
22,weekday,small,cloudy,84,450,1.13
20,weekend,small,cloudy,26,650,1.34
19,weekday,medium,cloudy,23,120,1.92
19,weekday,medium,cloudy,39,380,1.57
23,weekday,large,cloudy,8,380,3.02
23,weekend,large,cloudy,21,900,2.83
21,weekday,small,cloudy,28,450,1.31
22,weekday,small,cloudy,83,380,1.27
21,weekday,small,cloudy,7,450,1.38
23,weekday,medium,cloudy,4,380,2.56
22,weekday,large,cloudy,15,380,2.67
21,weekend,medium,cloudy,81,380,1.44
21,weekday,small,cloudy,10,450,1.3
21,weekday,medium,cloudy,54,380,1.7
19,weekday,medium,cloudy,8,380,1.71
23,weekday,medium,rain,54,380,2.15
22,weekend,large,cloudy,62,380,2.3
21,weekday,small,cloudy,6,900,1.11
24,weekend,large,cloudy,42,650,2.96
23,weekday,medium,cloudy,10,650,1.96
22,weekday,large,cloudy,85,380,1.12
20,weekday,medium,cloudy,19,380,1.83
19,weekday,small,cloudy,14,120,1.49
22,weekday,medium,clear,69,120,1.47
22,weekday,medium,cloudy,90,380,1.12
24,weekday,medium,cloudy,6,380,2.8
22,weekday,small,cloudy,70,380,1.36
23,weekday,large,cloudy,72,380,1.5
22,weekend,medium,cloudy,46,900,1.68
22,weekday,medium,cloudy,9,650,1.86
22,weekday,medium,cloudy,46,900,1.33
21,weekend,medium,cloudy,65,650,1.5
22,weekend,small,cloudy,36,650,1.61
23,weekend,medium,cloudy,78,120,2.12
19,weekend,medium,cloudy,15,650,1.87
22,weekday,small,cloudy,34,380,1.62
23,weekday,medium,cloudy,32,650,1.65
21,weekday,large,cloudy,27,900,1.81
21,weekday,medium,clear,87,380,1.04
20,weekend,medium,cloudy,55,120,2.11
22,weekend,medium,cloudy,17,450,2.77
22,weekend,large,cloudy,33,450,2.88
19,weekend,medium,cloudy,78,380,1.38
21,weekday,medium,cloudy,41,900,1.3
21,weekday,large,clear,65,120,1.64
22,weekday,medium,cloudy,14,650,1.84
23,weekday,large,cloudy,13,380,2.8
22,weekday,large,cloudy,5,450,3.02
22,weekend,medium,cloudy,36,380,2.3
19,weekend,medium,cloudy,79,650,1.15
22,weekend,large,cloudy,23,380,3.26
22,weekend,small,cloudy,46,650,1.34
21,weekday,large,clear,61,900,1.12
23,weekday,large,clear,18,650,2.29
23,weekend,large,cloudy,51,380,2.85
23,weekday,medium,cloudy,22,450,2.28
21,weekday,large,cloudy,34,650,1.78
23,weekday,large,cloudy,69,450,1.64
22,weekend,medium,cloudy,80,650,1.41
19,weekday,medium,cloudy,13,650,1.39
22,weekday,large,cloudy,3,380,3.3
24,weekday,medium,cloudy,16,650,2.25
22,weekday,large,cloudy,13,120,3.19
23,weekday,large,cloudy,52,650,1.85
20,weekday,medium,cloudy,6,380,2.17
21,weekday,large,cloudy,71,900,1.0
22,weekday,large,cloudy,11,900,2.1
21,weekday,large,rain,70,900,1.31
21,weekday,medium,cloudy,62,380,1.41
19,weekday,small,cloudy,36,450,1.09
24,weekend,small,cloudy,88,450,1.68
21,weekday,small,cloudy,51,380,1.24
21,weekend,large,cloudy,19,380,3.14
20,weekend,small,cloudy,44,120,1.83
22,weekday,large,cloudy,51,650,1.53
22,weekend,large,cloudy,78,380,1.68
22,weekday,large,cloudy,8,450,2.92
19,weekday,medium,cloudy,4,650,1.65
22,weekday,medium,cloudy,76,120,1.4
21,weekend,medium,cloudy,32,650,2.06
22,weekday,large,cloudy,51,650,1.52
22,weekday,medium,cloudy,1,380,2.63
22,weekend,large,cloudy,40,380,3.1
21,weekday,large,cloudy,33,450,1.95
23,weekday,small,cloudy,65,450,1.33
22,weekday,large,clear,71,120,1.65
20,weekday,large,cloudy,70,450,1.38
19,weekday,large,cloudy,44,120,1.88
22,weekend,medium,cloudy,82,120,1.6
19,weekday,medium,cloudy,55,650,1.09
19,weekend,medium,cloudy,3,900,1.84
23,weekday,large,cloudy,66,120,2.2
23,weekday,large,cloudy,49,380,2.17
21,weekday,medium,cloudy,65,900,1.04
20,weekday,large,cloudy,21,380,2.23
23,weekday,large,cloudy,56,380,1.98
22,weekend,medium,cloudy,6,380,2.94
19,weekday,medium,cloudy,65,380,1.2
23,weekday,large,cloudy,36,380,2.63
21,weekend,large,cloudy,71,450,1.76
21,weekday,small,cloudy,48,650,1.06
24,weekday,medium,rain,51,450,2.2
22,weekday,medium,cloudy,63,900,1.14
22,weekday,large,cloudy,14,380,2.78
23,weekday,large,cloudy,8,380,3.17
23,weekday,small,cloudy,1,450,1.8
24,weekday,medium,cloudy,18,380,2.53
22,weekday,medium,cloudy,59,650,1.39
22,weekday,large,clear,13,380,2.25
24,weekend,small,cloudy,76,380,1.72
21,weekday,large,clear,62,380,1.66
21,weekday,large,cloudy,6,120,3.37
22,weekday,large,cloudy,44,450,1.98
21,weekend,medium,cloudy,76,450,1.57
21,weekday,small,cloudy,20,120,1.58
23,weekday,small,cloudy,72,450,1.3
22,weekday,small,cloudy,71,120,1.49
22,weekday,large,cloudy,17,650,2.35
21,weekend,medium,cloudy,43,900,1.61
23,weekend,large,cloudy,63,380,2.53
24,weekday,small,cloudy,29,380,1.63
23,weekday,small,cloudy,37,900,1.02
22,weekday,large,cloudy,27,380,2.8
21,weekend,medium,cloudy,14,120,3.23
20,weekday,medium,cloudy,3,450,2.11
21,weekday,medium,clear,37,380,1.41
23,weekday,medium,cloudy,72,380,1.53
19,weekend,medium,cloudy,73,650,1.25
23,weekday,medium,cloudy,79,650,1.14
21,weekday,medium,cloudy,87,120,1.27
21,weekday,medium,cloudy,30,380,1.85
23,weekday,large,cloudy,76,450,1.5
21,weekday,large,cloudy,1,450,2.59
22,weekday,medium,cloudy,75,380,1.37
23,weekday,large,cloudy,84,380,1.47
22,weekday,small,cloudy,42,450,1.33
21,weekday,small,cloudy,43,650,1.18
22,weekend,large,cloudy,53,450,2.53
21,weekday,large,cloudy,26,380,2.24
21,weekend,large,cloudy,43,650,2.24
23,weekday,small,cloudy,76,380,1.36
22,weekday,large,cloudy,59,900,1.36
23,weekday,large,cloudy,78,900,1.03
21,weekend,large,cloudy,9,380,3.5
21,weekday,medium,clear,7,120,2.26
21,weekday,large,cloudy,62,900,1.25
22,weekday,large,cloudy,11,450,2.8
22,weekday,medium,cloudy,19,380,2.27
20,weekday,small,cloudy,29,900,1.02
23,weekday,large,cloudy,79,450,1.37
21,weekend,medium,cloudy,6,380,2.95
24,weekday,small,cloudy,48,380,1.57
22,weekday,medium,cloudy,51,650,1.47
19,weekday,medium,cloudy,9,380,1.83
21,weekend,small,cloudy,49,380,1.57
22,weekday,small,cloudy,16,380,1.51
22,weekday,small,cloudy,4,450,1.61
20,weekday,large,cloudy,67,380,1.44
22,weekend,medium,cloudy,47,380,2.25
22,weekday,large,cloudy,13,380,2.73
23,weekday,medium,rain,33,450,2.55
22,weekday,large,cloudy,54,650,1.56
22,weekday,medium,cloudy,4,380,2.52
22,weekday,medium,cloudy,37,900,1.47
22,weekday,small,cloudy,21,380,1.56
21,weekday,small,clear,56,380,1.16
20,weekday,small,cloudy,38,380,1.1
22,weekend,medium,cloudy,87,650,1.2
21,weekend,large,cloudy,79,450,1.62
20,weekend,large,cloudy,23,900,2.24
20,weekday,medium,cloudy,2,450,1.92
22,weekday,large,cloudy,16,450,2.59
22,weekend,small,cloudy,19,380,1.83
21,weekday,small,cloudy,83,380,1.21
21,weekday,large,cloudy,62,380,1.38
23,weekend,small,cloudy,53,380,1.81
23,weekday,large,cloudy,86,120,1.52
22,weekday,large,cloudy,41,450,2.2
21,weekend,small,cloudy,67,120,1.8
23,weekday,large,cloudy,36,450,2.25
22,weekday,small,cloudy,65,650,1.0
21,weekday,medium,cloudy,74,450,1.23
22,weekday,small,cloudy,31,380,1.41
21,weekday,small,cloudy,7,120,1.75
20,weekend,large,cloudy,66,450,1.91
21,weekend,large,cloudy,11,900,2.72
22,weekend,large,cloudy,32,900,2.48
23,weekend,medium,cloudy,41,450,2.52
22,weekday,small,clear,7,450,1.47
21,weekday,large,cloudy,1,450,2.75
21,weekday,small,cloudy,31,450,1.38
22,weekday,medium,clear,52,120,1.82
22,weekday,small,cloudy,53,450,1.16
20,weekday,medium,cloudy,85,650,1.0
23,weekday,large,rain,6,650,3.19
21,weekday,small,clear,61,380,1.0
24,weekday,large,clear,65,380,1.8
22,weekday,medium,cloudy,47,120,2.22
22,weekday,large,cloudy,4,380,3.12
23,weekday,medium,cloudy,51,380,1.85
22,weekday,medium,cloudy,11,650,1.69
23,weekend,large,cloudy,20,650,3.23
22,weekday,small,cloudy,52,380,1.46
22,weekday,small,cloudy,65,380,1.32
23,weekday,medium,cloudy,17,450,2.27
22,weekend,large,cloudy,85,380,1.62
23,weekend,large,cloudy,73,380,2.07
22,weekend,medium,cloudy,41,120,2.71
21,weekend,large,cloudy,6,450,3.38
22,weekday,small,cloudy,85,450,1.09
23,weekend,medium,cloudy,85,650,1.4
22,weekday,medium,cloudy,31,650,1.77
23,weekday,medium,cloudy,33,120,2.44
21,weekday,large,cloudy,79,380,1.17
22,weekday,medium,rain,6,450,2.49
22,weekend,medium,cloudy,7,120,3.5
21,weekday,medium,rain,20,900,1.8
22,weekday,small,cloudy,84,650,1.05
21,weekday,medium,cloudy,7,650,1.88
20,weekday,large,cloudy,8,450,2.36
23,weekday,large,cloudy,68,650,1.31
21,weekend,medium,cloudy,34,450,2.37
23,weekend,large,cloudy,71,380,2.01
22,weekday,large,cloudy,18,120,3.09
23,weekend,medium,cloudy,19,450,2.67
22,weekday,small,cloudy,34,380,1.37
24,weekday,large,cloudy,57,380,1.99
23,weekday,large,cloudy,50,380,2.35
20,weekend,large,cloudy,64,450,1.87
22,weekend,medium,cloudy,70,380,1.91
22,weekday,medium,cloudy,68,450,1.21
24,weekday,medium,cloudy,27,380,2.51
21,weekday,large,cloudy,14,650,2.39
21,weekday,medium,cloudy,31,120,2.18
21,weekday,medium,clear,60,650,1.12
21,weekend,small,cloudy,51,450,1.57
22,weekend,medium,cloudy,10,450,2.99
20,weekday,large,clear,45,650,1.31
21,weekend,medium,cloudy,67,380,1.85
22,weekday,medium,clear,85,120,1.23
21,weekday,medium,cloudy,0,380,2.21
21,weekday,medium,cloudy,27,380,1.96
21,weekend,medium,cloudy,6,380,2.61
22,weekday,medium,cloudy,5,900,1.66
22,weekend,large,cloudy,31,900,2.21
22,weekday,large,cloudy,44,450,2.38
21,weekday,medium,cloudy,69,650,1.04
21,weekend,medium,cloudy,33,380,2.44
21,weekend,medium,cloudy,66,380,1.6
23,weekend,medium,cloudy,18,650,2.59
23,weekday,small,cloudy,81,380,1.3
21,weekend,medium,cloudy,42,450,2.09
22,weekend,small,cloudy,33,120,2.25
23,weekday,medium,rain,11,450,2.72
22,weekday,small,cloudy,75,380,1.19
22,weekday,large,cloudy,70,380,1.52
21,weekday,medium,clear,89,380,1.0
23,weekday,medium,cloudy,66,380,1.64
23,weekday,medium,cloudy,88,380,1.2
24,weekday,large,cloudy,67,380,1.83
23,weekday,large,cloudy,83,650,1.16
23,weekday,medium,clear,62,380,1.42
24,weekday,large,clear,60,450,1.88
21,weekday,large,cloudy,74,120,1.59
22,weekday,small,cloudy,53,450,1.22
23,weekday,large,cloudy,65,650,1.52
22,weekday,large,cloudy,74,120,1.7
22,weekend,medium,cloudy,32,650,2.23
22,weekend,medium,cloudy,5,450,3.14
24,weekday,medium,clear,10,380,2.45
23,weekday,small,cloudy,59,120,1.71
21,weekend,small,cloudy,27,380,1.85
21,weekend,medium,cloudy,61,650,1.58
23,weekday,large,cloudy,40,120,2.77
20,weekday,medium,cloudy,11,380,1.84
22,weekday,medium,cloudy,18,650,1.87
22,weekday,medium,cloudy,78,380,1.34
22,weekday,medium,cloudy,2,120,3.05
23,weekday,small,cloudy,76,120,1.48
23,weekday,small,cloudy,31,120,1.83
22,weekend,medium,cloudy,51,380,2.0
23,weekday,large,cloudy,89,380,1.17
22,weekday,large,cloudy,83,450,1.31
22,weekend,large,cloudy,1,450,3.5
20,weekday,small,cloudy,4,380,1.59
23,weekday,small,cloudy,55,650,1.13
21,weekday,large,cloudy,29,900,1.62
19,weekday,medium,cloudy,28,650,1.42
21,weekday,medium,cloudy,63,650,1.11
23,weekday,large,cloudy,60,380,2.07
23,weekday,medium,rain,1,120,3.5
23,weekday,small,cloudy,64,650,1.26
22,weekend,large,cloudy,81,120,1.95
23,weekday,medium,rain,46,450,2.13
21,weekday,large,cloudy,71,650,1.32
21,weekday,large,cloudy,22,450,2.46
23,weekday,medium,cloudy,51,450,1.74
24,weekend,medium,cloudy,8,380,3.45
20,weekday,small,clear,65,450,1.01
19,weekday,large,cloudy,13,380,2.19
19,weekday,medium,cloudy,4,120,1.91
22,weekday,small,cloudy,1,650,1.26
23,weekend,medium,cloudy,52,380,2.53
21,weekday,large,cloudy,82,120,1.49
20,weekday,large,clear,70,650,1.05
22,weekend,large,cloudy,58,450,2.25
20,weekday,medium,clear,14,450,1.76
22,weekday,large,cloudy,67,380,1.44
24,weekday,medium,cloudy,65,380,1.85
21,weekday,small,cloudy,39,380,1.44
21,weekend,medium,cloudy,43,450,2.15
20,weekend,medium,cloudy,7,380,2.42
20,weekday,medium,cloudy,11,380,1.9
23,weekend,large,cloudy,22,120,3.5
19,weekday,small,cloudy,30,380,1.18
22,weekend,large,cloudy,70,900,1.48
22,weekday,medium,cloudy,56,450,1.41
22,weekend,large,cloudy,12,650,3.12
20,weekend,medium,cloudy,41,120,2.19
21,weekday,large,cloudy,15,380,2.69
22,weekday,medium,cloudy,67,380,1.55
20,weekday,small,cloudy,19,650,1.15
22,weekend,small,cloudy,55,120,2.04
22,weekday,medium,cloudy,27,650,1.62
22,weekday,small,clear,25,120,1.48
23,weekday,medium,cloudy,23,380,2.06
22,weekday,medium,cloudy,52,120,2.1
20,weekend,large,cloudy,29,380,3.04
21,weekday,small,cloudy,17,650,1.17
22,weekday,medium,cloudy,17,380,2.02
22,weekend,small,cloudy,29,380,1.96
24,weekend,large,cloudy,67,380,2.35
21,weekday,small,cloudy,52,650,1.05
22,weekday,medium,cloudy,81,450,1.3
22,weekday,large,cloudy,9,650,2.36
20,weekend,large,cloudy,2,450,3.23
24,weekday,medium,cloudy,50,650,1.64
23,weekday,large,cloudy,56,900,1.5
22,weekday,medium,rain,90,380,1.32
23,weekend,small,cloudy,44,380,1.93
22,weekend,medium,cloudy,8,380,2.86
21,weekday,large,cloudy,64,650,1.24
21,weekday,small,cloudy,38,380,1.38
